"name","total_jobs","analyst_jobs","scientist_jobs","machine_learning_jobs","cloud_jobs","software_jobs","other_engineer_jobs"
"DHL","124","69","14","6","1","17","17"
"Safran","124","39","45","0","1","0","39"
"JPMorgan Chase","124","29","84","3","0","1","7"
"Fiserv","124","58","35","0","2","7","22"
"CareerBuilder","124","50","58","1","0","3","12"
"HERE Technologies","124","11","42","0","0","19","52"
"Konnekt","124","52","12","2","12","32","14"
"Sedgwick","123","76","46","0","1","0","0"
"PBT Group","123","8","17","0","1","2","95"
"Netflix","123","23","54","0","0","5","41"
"Careem","123","28","40","0","0","32","23"
"SDG Group","123","27","35","8","2","10","41"
"Randstad US","122","73","30","0","0","0","19"
"CPL","122","39","13","6","13","33","18"
"Apollo Solutions","122","13","16","3","0","5","85"
"In Technology Group Limited","122","53","41","4","0","0","24"
"Reed Technology","122","57","10","0","1","2","52"
"emagine","122","31","10","1","0","1","79"
"Wargaming","121","35","28","11","3","14","30"
"CAS TRAINING","121","36","15","0","8","23","39"
"Adevinta","121","31","11","8","1","6","64"
"Infotree Global Solutions","121","73","10","1","2","7","28"
"Indotronix International Corporation","121","65","37","0","0","1","18"
"KLM","121","36","47","3","1","6","28"
"McKesson","120","37","73","1","2","2","5"
"ManTech","120","28","70","0","0","5","17"
"Regions Bank","120","42","47","0","0","1","30"
"2K","120","33","67","2","3","2","13"
"Henkel","120","77","28","0","1","4","10"
"Liberty Mutual Insurance","120","18","41","0","0","3","58"
"Absa Group","120","53","29","7","0","2","29"
"Travelers Insurance","119","3","66","0","1","0","49"
"Aon","119","70","13","0","0","4","32"
"Lyft","119","25","41","3","1","10","39"
"Groupe BPCE","119","60","37","0","0","0","22"
"Supernal","119","13","0","0","0","0","106"
"Cargill","119","37","45","0","1","1","35"
"SGS","119","73","23","3","0","2","18"
"Novo Nordisk AS","119","41","34","5","6","12","21"
"ecocareers","119","51","34","0","1","0","33"
"Ernst & Young","119","37","31","1","1","3","46"
"UC San Diego","119","74","44","1","0","0","0"
"CareerValue","119","7","40","3","0","0","69"
"Abbott","119","52","56","1","0","1","9"
"Natwest","119","31","56","0","0","1","31"
"Virtual Vocations Inc","119","50","53","0","1","4","11"
"Skiltrek","118","53","17","0","0","4","44"
"Travelers Insurance Company","118","2","56","0","6","0","54"
"Syneos Health","118","28","83","0","0","2","5"
"Volt","118","101","4","0","0","2","11"
"Parexel","118","60","13","1","0","3","41"
"Harvey Nash","118","35","16","2","1","2","62"
"ABB","117","54","30","8","6","12","7"
"College of Charleston","117","92","17","1","0","0","7"
"Essity","117","54","23","2","2","11","25"
"AVIV Group","117","19","14","0","0","17","67"
"Amazon Europe Core","117","60","12","10","2","6","27"
"Pyramid Consulting, Inc","116","55","16","2","1","2","40"
"DISH","116","15","69","0","0","0","32"
"Inclusion Cloud","116","2","3","4","3","45","59"
"TekWissen ®","116","25","39","0","2","3","47"
"BJSS","115","36","4","1","0","10","64"
"AUTO1 Group","115","33","67","6","0","0","9"
"Danone","115","49","44","4","2","4","12"
"DISYS","115","69","10","0","0","2","34"
"Glocomms","115","17","50","5","3","3","37"
"Humanity","115","31","23","5","0","16","40"
"L'Oréal","115","67","27","2","0","1","18"
"Microsoft Corporation","115","7","58","1","5","35","9"
"Noblis","115","14","76","0","0","2","23"
"Sanlam","115","62","18","0","2","3","30"
"Aptiv","114","46","19","2","2","14","31"
"84.51°","114","6","85","0","0","1","22"
"Nagarro","114","14","13","6","3","36","42"
"Get It Recruit - Finance","114","101","9","0","0","2","2"
"Canva","114","36","32","10","2","19","15"
"Playrix","114","54","5","3","3","4","45"
"Sun Life","114","16","35","0","0","6","57"
"Arthur Lawrence","114","67","20","0","0","0","27"
"SAZ India","114","99","10","0","0","0","5"
"Bank of Ireland","113","51","35","0","3","3","21"
"SEB","113","32","9","0","2","0","70"
"Amgen","113","26","51","4","2","2","28"
"Russell Tobin","113","65","20","0","1","2","25"
"Richemont","113","62","26","2","4","1","18"
"Capco","113","35","23","0","0","5","50"
"Optomi","113","27","27","1","1","2","55"
"Eolas Recruitment","113","18","27","3","2","7","56"
"HCA Healthcare","113","40","31","0","0","0","42"
"MBN Solutions","113","16","68","1","0","0","28"
"GM Financial","112","55","35","1","1","4","16"
"The Kraft Heinz Company","112","28","48","3","2","1","30"
"Talentify.io","112","87","14","0","0","0","11"
"Brunel","112","32","34","4","3","7","32"
"Varsity Tutors","112","77","12","7","1","6","9"
"HNM Solutions","112","35","30","4","5","7","31"
"Superior HealthPlan","112","111","1","0","0","0","0"
"hackajob","112","11","26","0","0","2","73"
"Accenture in India","112","18","27","0","1","13","53"
"PERSOLKELLY SINGAPORE PTE. LTD.","112","68","8","0","0","3","33"
"Avance Consulting","112","22","16","0","4","1","69"
"BMW Group","112","25","57","1","0","5","24"
"SGF Global","112","50","16","2","5","18","21"
"Expectra","111","58","22","0","0","0","31"
"New Scientist","111","8","99","0","0","3","1"
"Network IT","111","29","22","3","3","7","47"
"Sigma Software","111","18","8","2","3","7","73"
"Pearson","111","52","36","8","0","4","11"
"Hunter Bond","111","16","23","0","1","18","53"
"IO Associates","111","9","23","1","4","9","65"
"ECS","110","19","75","0","1","0","15"
"CoreLogic","110","27","56","0","2","2","23"
"Teladoc Health","110","6","58","0","0","3","43"
"Multiplica Talent","110","23","36","0","2","5","44"
"Status Pro","110","26","27","0","4","2","51"
"Data Idols","109","17","55","1","0","3","33"
"Adsearch","109","32","17","0","0","1","59"
"Page Personnel España","109","48","39","1","2","4","15"
"Shift Technology","109","1","83","1","0","10","14"
"Сбер. IT","109","5","19","4","1","1","79"
"LINCOLN","109","33","26","0","0","0","50"
"RMS Computer Corporation","109","103","5","0","0","1","0"
"The Hertz Corporation","109","34","46","0","0","2","27"
"Sabenza IT","108","28","3","2","1","4","70"
"SAFRAN","108","43","37","0","0","1","27"
"Marsh McLennan","108","56","12","1","3","6","30"
"La Relve","108","38","11","0","0","0","59"
"Dow Jones","108","67","14","2","3","5","17"
"Cabify","108","52","18","0","1","13","24"
"ApTask","108","38","27","2","1","0","40"
"Nord Security","107","55","5","0","8","30","9"
"Viatris","107","86","21","0","0","0","0"
"Tripadvisor","107","16","44","13","0","11","23"
"Pacific Northwest National Laboratory","107","4","84","3","0","2","14"
"Tencent","107","16","45","1","4","7","34"
"adesso SE","107","15","22","12","1","0","57"
"e-Merge IT Recruitment","106","10","40","0","0","0","56"
"Old Mutual South Africa","106","48","27","0","3","7","21"
"SLB","106","30","46","10","2","2","16"
"Kforce Technology Staffing","106","45","29","0","0","1","31"
"Meritis","106","24","14","0","1","1","66"
"GIGROUP","106","81","13","1","4","1","6"
"Kyndryl","106","29","21","1","5","6","44"
"World Food Programme","105","72","19","1","2","0","11"
"Koch Industries","105","49","23","0","0","3","30"
"VMware","105","36","17","1","10","26","15"
"People Tech Group Inc","105","3","3","0","0","3","96"
"3M","105","73","13","0","0","2","17"
"KBR","105","40","50","2","1","1","11"
"OESON","105","56","49","0","0","0","0"
"Boston Scientific","105","64","17","0","0","3","21"
"WayUp","104","31","49","0","0","7","17"
"Hays Specialist Recruitment Limited","104","53","16","0","3","8","24"
"G-STAT","104","69","18","0","1","0","16"
"Dataworks","104","19","17","0","2","6","60"
"Credit Agricole","104","39","61","0","0","0","4"
"Brillio","104","23","18","1","0","1","61"
"Infogain","103","11","13","4","0","5","70"
"PG&E Corporation","103","48","27","0","0","0","28"
"Genesys","103","21","6","0","0","37","39"
"Dataiku","103","15","32","2","7","47","0"
"La Relève","103","20","16","0","0","0","67"
"S.i. Systems","103","20","11","0","2","4","66"
"Flix","103","24","13","0","0","6","60"
"Classy Wheeler Limited","103","54","15","0","4","14","16"
"City National Bank","103","91","6","0","0","0","6"
"SentinelOne","103","9","12","4","4","29","45"
"Oliver James Associates","103","26","34","4","2","2","35"
"Ciklum","103","15","13","0","3","3","69"
"SCALO Sp. z o.o.","103","30","2","0","0","7","64"
"Talent Group","103","23","22","1","1","2","54"
"Marriott","102","27","68","0","2","0","5"
"EyeTech Solutions","102","28","17","4","1","14","38"
"Citi bank","102","63","28","2","1","4","4"
"Caliber Sourcing","102","90","9","0","0","1","2"
"SoFi","102","10","82","0","0","2","8"
"Buscojobs ES Premium","102","39","23","0","0","4","36"
"Royal Caribbean Group","102","68","19","0","0","1","14"
"Global Recruitment Selection","102","62","21","1","0","1","17"
"Synergisticit","102","28","65","1","0","8","0"
"Micron","102","29","35","2","1","9","26"
"MCKESSON","102","30","58","0","0","2","12"
"Randstad Hong Kong","101","48","17","0","8","10","18"
"Syngenta Group","101","21","49","4","0","0","27"
"ABN AMRO","101","46","23","8","1","4","19"
"Xpertise Recruitment","101","8","14","0","5","5","69"
"Air Liquide","101","41","33","0","0","7","20"
"ADVERGY GmbH","101","15","29","0","0","1","56"
"TaskUs","101","68","16","1","1","0","15"
"Bnp Paribas","101","62","29","0","0","2","8"
"Ampstek","100","24","14","0","0","4","58"
"Version 1","100","28","16","1","1","2","52"
"Cegeka","100","33","14","1","0","3","49"
"GfK","100","42","41","5","1","1","10"
"WALGREENS","100","4","71","0","0","0","25"
"Cash App","100","33","38","15","1","9","4"
"Creative Financial Staffing","100","86","6","0","0","0","8"
"Philips","100","40","24","0","2","3","31"
"Fullstack Labs","100","32","22","1","1","5","39"
"Eames Consulting","100","46","28","2","0","0","24"
"Entain","100","49","26","0","3","4","18"
"Anson Mccade","100","1","14","0","0","0","85"
