"name","total_jobs","analyst_jobs","scientist_jobs","machine_learning_jobs","cloud_jobs","software_jobs","other_engineer_jobs"
"Deutsche Bank","351","93","87","5","2","8","156"
"FullStack Labs","348","81","44","23","10","65","125"
"Macquarie Group","348","88","31","5","7","27","190"
"Procter & Gamble","345","64","127","6","13","24","111"
"Cynet Systems","345","186","61","1","0","2","95"
"Peroptyx","344","340","4","0","0","0","0"
"Technojobs","342","54","59","5","15","38","171"
"EPAM Anywhere","341","44","47","16","6","9","219"
"Capgemini Engineering","340","47","95","11","3","11","173"
"Splunk","337","99","12","2","10","191","23"
"HSBC","335","141","87","2","11","53","41"
"Ericsson","334","63","119","1","22","48","81"
"Publicis Sapient","330","58","67","0","4","5","196"
"Comcast","329","91","116","0","1","3","118"
"Société Générale","329","126","112","0","0","9","82"
"Intuit","327","144","118","15","1","26","23"
"Caterpillar","324","69","194","1","7","21","32"
"Swiss Re","323","111","41","1","10","39","121"
"RIT Solutions, Inc.","321","116","78","0","0","2","125"
"Hewlett Packard Enterprise","321","141","68","5","11","30","66"
"confidential","320","113","53","3","5","29","117"
"Genpact","320","97","113","1","1","5","103"
"Globant","318","20","89","3","13","14","179"
"DBS Bank","317","149","54","16","1","1","96"
"BNY Mellon","317","135","143","1","3","4","31"
"Salesforce","315","76","86","4","18","62","69"
"AXA","314","146","76","9","4","16","63"
"Navy Federal Credit Union","312","52","214","0","0","3","43"
"TransUnion","312","103","110","2","2","14","81"
"LHH","311","171","49","3","1","13","74"
"USAA","311","132","115","3","0","3","58"
"Verisk","310","117","62","13","4","26","88"
"EliteRecruitmentGroup","308","1","283","0","0","0","24"
"Akkodis","308","106","73","6","1","2","120"
"Rappi","306","120","101","21","4","5","55"
"Novo Nordisk","306","71","117","13","8","17","80"
"Databricks","305","40","31","14","16","96","108"
"Kforce Technology","305","167","71","0","0","4","63"
"HCLTech","304","85","39","6","3","10","161"
"AgileEngine","303","40","32","2","14","68","147"
"Carrefour","303","201","60","0","1","0","41"
"Talan","301","79","44","4","14","17","143"
"OpenClassrooms","301","226","63","0","0","0","12"
"AT&T","301","107","130","0","1","9","54"
"eTeam","298","140","62","4","0","5","87"
"Dell Technologies","298","59","105","32","6","32","64"
"TELUS International AI Data Solutions","297","249","25","2","6","7","8"
"Hitachi Careers","297","56","29","14","8","88","102"
"Epsilon","297","147","77","3","0","0","70"
"Understanding Recruitment","296","10","70","12","1","18","185"
